product_id,product_name,default_code,category,stock_uom,stock_uom_categ,purchase_uom,purchase_uom_categ,last_po_uom,last_po_uom_categ,last_po_date,bom_line_uoms,bom_count,flags,proposed_bucket,proposed_kg_per_l
1136,Chili Flakes with Seed,,All / RAW MATERIALS / Spices & Seasonings,kg,Weight,kg,Weight,,,,kg,2,,,
1137,Chili Paste (Gochujang),,All / RAW MATERIALS / Condiments & Liquids,kg,Weight,kg,Weight,,,,kg,8,,,
1138,"Chili Powder, Coarse",,All / RAW MATERIALS / Spices & Seasonings,kg,Weight,kg,Weight,,,,kg,8,,,
1094,Chinakohl Kiste,,All,Units,Unit,Units,Unit,,,,Units,2,,,
934,"Cilantro, fresh",,All / RAW MATERIALS / Fresh Produce / Herbs & Greens,kg,Weight,kg,Weight,,,,kg,2,,,
1006,Cinnamon & Nutmeg,,All,kg,Weight,kg,Weight,,,,kg,1,,,
887,"Cinnamon, ground",,All / RAW MATERIALS / Spices & Seasonings,kg,Weight,kg,Weight,,,,kg,4,,,
922,"Cloves, whole",,All / RAW MATERIALS / Spices & Seasonings,kg,Weight,kg,Weight,,,,kg,2,,,
933,Coconut milk,,All / RAW MATERIALS / Dry Goods,kg,Weight,kg,Weight,,,,kg,2,,,
918,"Coriander seeds, whole",,All / RAW MATERIALS / Spices & Seasonings,kg,Weight,kg,Weight,,,,kg,1,,,
936,Corn Starch 3kg,,All / RAW MATERIALS / Dry Goods,kg,Weight,kg,Weight,,,,kg,3,,,
953,"Cornmeal, fine",,All / RAW MATERIALS / Dry Goods,25kg,Weight,25kg,Weight,,,,kg,1,,,
1139,Cranberry Juice,,All / RAW MATERIALS / Condiments & Liquids,L,Volume,L,Volume,,,,L,2,,,
1239,"Cucumbers, fresh",,All / RAW MATERIALS / Fresh Produce / Vegetables,kg,Weight,kg,Weight,,,,kg,1,,,
1140,Cumin Powder,,All / RAW MATERIALS / Spices & Seasonings,kg,Weight,kg,Weight,,,,kg,2,,,
961,"Cumin, whole",,All,kg,Weight,kg,Weight,,,,kg,1,,,
1141,Curry Powder,,All / RAW MATERIALS / Spices & Seasonings,kg,Weight,kg,Weight,,,,kg,3,,,
1553,Dijon Mustard,,All,kg,Weight,kg,Weight,,,,kg,1,,,
1142,Donkatsu Sauce,,All / RAW MATERIALS / Condiments & Liquids,kg,Weight,kg,Weight,,,,kg,2,,,
1143,Dried Chili,,All / RAW MATERIALS / Spices & Seasonings,kg,Weight,kg,Weight,,,,kg,4,,,
1144,Dried Shiitake Mushroom,,All / RAW MATERIALS / Dry Goods,kg,Weight,kg,Weight,,,,kg,2,,,
960,Escovitch Pickling Base v2,,All,kg,Weight,kg,Weight,,,,kg,1,,,
919,"Fenugreek, whole",,All / RAW MATERIALS / Spices & Seasonings,kg,Weight,kg,Weight,,,,kg,1,,,
1145,Fish sauce,,All / RAW MATERIALS / Condiments & Liquids,L,Volume,L,Volume,,,,L,2,,,
911,Five Spice Powder Mee Chun,,All / RAW MATERIALS / Spices & Seasonings,kg,Weight,kg,Weight,,,,kg,1,,,
894,Garlic powder,,All / RAW MATERIALS / Spices & Seasonings,kg,Weight,kg,Weight,,,,kg,10,,,
879,"Garlic, fresh",,All / RAW MATERIALS / Fresh Produce / Vegetables,kg,Weight,kg,Weight,,,,kg,44,,,
920,Ginger powder,,All / RAW MATERIALS / Spices & Seasonings,kg,Weight,kg,Weight,,,,kg,4,,,
930,"Ginger, fresh",,All / RAW MATERIALS / Fresh Produce / Vegetables,kg,Weight,kg,Weight,,,,kg,22,,,
1378,"Greek Yogurt, full-fat",,All / RAW MATERIALS / Dairy & Eggs,kg,Weight,kg,Weight,,,,kg,1,,,
856,Green seasoning v.1.3,,All / SEMI-FINISHED GOODS / Spice Blends,kg,Weight,kg,Weight,,,,kg,2,,,
743,Homemade Soy Sauce 15kg,,All / SEMI-FINISHED GOODS / Sauces,Units,Unit,Units,Unit,,,,Units,6,,,
1146,Honey,,All / RAW MATERIALS / Condiments & Liquids,kg,Weight,kg,Weight,,,,kg,2,,,
1147,Honey Yuzu,,All / RAW MATERIALS / Condiments & Liquids,kg,Weight,kg,Weight,,,,kg,4,,,
926,Ice water,,All / RAW MATERIALS / Condiments & Liquids,kg,Weight,kg,Weight,,,,kg,1,,,
866,Jamaican Curry Dish- Beef Marinade 3.1/4,,All / SEMI-FINISHED GOODS / Dressings & Marinades,kg,Weight,kg,Weight,,,,kg,1,,,
867,Jamaican Curry Dish- Chicken Marinade 3.2/4,,All / SEMI-FINISHED GOODS / Dressings & Marinades,kg,Weight,kg,Weight,,,,kg,1,,,
854,Jamaican Curry Dish- Dry Mix 1/4,,All / SEMI-FINISHED GOODS / Spice Blends,kg,Weight,kg,Weight,,,,kg,3,,,
865,Jamaican Curry Dish- Protein Marinade Base 2/4,,All / SEMI-FINISHED GOODS / Dressings & Marinades,kg,Weight,kg,Weight,,,,kg,2,,,
1555,Jamaican Patty Dough v.4 1/2,,All,kg,Weight,kg,Weight,,,,kg,1,,,
1381,Jamaican Patty Dough v.4 2/2,,All,kg,Weight,kg,Weight,,,,kg,1,,,
1548,Jerk BBQ Dry Base Mix 2/4,,All / SEMI-FINISHED GOODS / Spice Blends,kg,Weight,kg,Weight,,,,kg,1,,,
1549,Jerk BBQ Heat Paste 3/4,,All / SEMI-FINISHED GOODS / Sauces,kg,Weight,kg,Weight,,,,kg,1,,,
1551,Jerk BBQ Sauce Base 1/4,,All / SEMI-FINISHED GOODS / Sauces,kg,Weight,kg,Weight,,,,kg,1,,,
988,Jerk Rice & Peas - Dry Spice Bag (265g),,All,kg,Weight,kg,Weight,,,,kg,1,,,
989,Jerk Rice & Peas - Frozen Flavor Bomb,,All,kg,Weight,kg,Weight,,,,kg,1,,,
897,Ketchup 10kg Eimer,,All / RAW MATERIALS / Condiments & Liquids,kg,Weight,kg,Weight,,,,kg,4,,,
1148,Konbu (Dried Kelp),,All / RAW MATERIALS / Dry Goods,kg,Weight,kg,Weight,,,,kg,4,,,
